[2022-11-19 01:01:02,141] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2022-11-19 01:01:10,323] INFO [Controller id=0 epoch=7] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2022-11-19 01:01:10,355] INFO [Controller id=0 epoch=7] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2022-11-19 01:01:10,358] INFO [Controller id=0 epoch=7] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2022-11-19 01:01:10,422] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2022-11-19 01:01:10,451] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 7 as part of the become-leader transition for 52 partitions (state.change.logger)
[2022-11-19 01:01:10,461] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,485] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(TPULOQlLSN-Zif-vJGPkKg) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,486] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,507] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,529] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,551] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,574] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,596] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,619] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,643] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:10,666] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
